filename,tree1,tree2,time,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,algo,pop,n
simphyout/pop_6_n_20_1.newick,0,1,91,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,2,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,3,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,4,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,5,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,6,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,7,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,8,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,9,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,10,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,11,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,12,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,13,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,14,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,15,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,16,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,17,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,18,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,19,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,20,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,21,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,22,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,23,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,24,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,25,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,26,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,27,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,28,173,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,29,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,30,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,31,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,32,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,33,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,34,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,35,95,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,36,77,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,37,71,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,38,71,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,39,70,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,40,70,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,41,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,42,72,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,43,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,44,71,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,45,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,46,71,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,47,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,48,75,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,0,49,67,20,0,19,19,fast,6,20
