filename,i,j,incidence_time,total_time
simphyout\pop_8_n_1000_1.newick,16,31,31477735,31882312
simphyout\pop_8_n_1000_1.newick,16,32,33263166,33621181
simphyout\pop_8_n_1000_1.newick,16,33,32329383,32713949
simphyout\pop_8_n_1000_1.newick,16,34,35645516,36011465
simphyout\pop_8_n_1000_1.newick,16,35,36136623,36497024
simphyout\pop_8_n_1000_1.newick,16,36,35242886,35578510
simphyout\pop_8_n_1000_1.newick,16,37,36120102,36488799
simphyout\pop_8_n_1000_1.newick,16,38,34405213,34773540
simphyout\pop_8_n_1000_1.newick,16,39,38490743,38851484
simphyout\pop_8_n_1000_1.newick,16,40,35252669,35624784
simphyout\pop_8_n_1000_1.newick,16,41,31735980,32099924
simphyout\pop_8_n_1000_1.newick,16,42,32327510,32661111
simphyout\pop_8_n_1000_1.newick,16,43,34761443,35129340
simphyout\pop_8_n_1000_1.newick,16,44,37608575,37982366
simphyout\pop_8_n_1000_1.newick,16,45,34780504,35113522
simphyout\pop_8_n_1000_1.newick,16,46,31659943,32015305
simphyout\pop_8_n_1000_1.newick,16,47,34391640,34758692
simphyout\pop_8_n_1000_1.newick,16,48,33587676,33961894
simphyout\pop_8_n_1000_1.newick,16,49,37120562,37437150
simphyout\pop_8_n_1000_1.newick,17,21,37850146,38218248
simphyout\pop_8_n_1000_1.newick,17,22,36655859,36971336
simphyout\pop_8_n_1000_1.newick,17,23,36774054,37129353
simphyout\pop_8_n_1000_1.newick,17,24,36996233,37369028
simphyout\pop_8_n_1000_1.newick,17,25,35807389,36127155
simphyout\pop_8_n_1000_1.newick,17,26,35994904,36350392
simphyout\pop_8_n_1000_1.newick,17,27,37570822,37944450
simphyout\pop_8_n_1000_1.newick,17,28,37119530,37444779
simphyout\pop_8_n_1000_1.newick,17,29,35874681,36189393
simphyout\pop_8_n_1000_1.newick,17,30,34585910,34960553
simphyout\pop_8_n_1000_1.newick,17,31,36328268,36696062
simphyout\pop_8_n_1000_1.newick,17,32,34977954,35345918
simphyout\pop_8_n_1000_1.newick,17,33,34455322,34780893
simphyout\pop_8_n_1000_1.newick,17,34,37491734,37872962
simphyout\pop_8_n_1000_1.newick,17,35,37509356,37882088
simphyout\pop_8_n_1000_1.newick,17,36,36180579,36552189
simphyout\pop_8_n_1000_1.newick,17,37,35852884,36206002
simphyout\pop_8_n_1000_1.newick,17,38,38154754,38516594
simphyout\pop_8_n_1000_1.newick,17,39,36147785,36524343
simphyout\pop_8_n_1000_1.newick,17,40,35681779,36053739
simphyout\pop_8_n_1000_1.newick,17,41,37663194,37985827
simphyout\pop_8_n_1000_1.newick,17,42,34250989,34626694
simphyout\pop_8_n_1000_1.newick,17,43,35929856,36300737
simphyout\pop_8_n_1000_1.newick,17,44,37585120,37948900
simphyout\pop_8_n_1000_1.newick,17,45,38299043,38670878
simphyout\pop_8_n_1000_1.newick,17,46,34934977,35299106
simphyout\pop_8_n_1000_1.newick,17,47,36355631,36680843
simphyout\pop_8_n_1000_1.newick,17,48,36841773,37217124
simphyout\pop_8_n_1000_1.newick,17,49,38017133,38340942
simphyout\pop_8_n_1000_1.newick,18,21,36061348,36429021
simphyout\pop_8_n_1000_1.newick,18,22,37048714,37418102
simphyout\pop_8_n_1000_1.newick,18,23,39097541,39451327
simphyout\pop_8_n_1000_1.newick,18,24,38037260,38401649
