filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,fasttime,naivetime,bhvtime
trees_1000.newick,0,1,1001,48775,999,999,11106,238299,1063584
trees_1000.newick,0,2,1001,49221,999,999,11114,244684,949423
trees_1000.newick,0,3,1001,49496,999,999,11067,239005,1461941
trees_1000.newick,0,4,1001,48762,999,999,10842,233413,1014260
trees_1000.newick,0,5,1001,49462,999,999,11164,236114,1009730
trees_1000.newick,0,6,1001,49356,999,999,11020,238333,991796
trees_1000.newick,0,7,1001,49515,999,999,11093,245914,953335
trees_1000.newick,0,8,1001,49316,999,999,11058,250599,1005807
trees_1000.newick,0,9,1001,49520,999,999,11192,242870,995671
trees_1000.newick,0,10,1001,49155,999,999,10983,251700,935958
trees_1000.newick,0,11,1001,49512,999,999,11280,245056,967681
trees_1000.newick,0,12,1001,49197,999,999,11080,239292,1274007
trees_1000.newick,0,13,1001,49320,999,999,11103,241826,1006532
trees_1000.newick,0,14,1001,49407,999,999,11136,244135,1269955
trees_1000.newick,0,15,1001,49177,999,999,11131,242780,942130
trees_1000.newick,0,16,1001,49236,999,999,11563,245532,1021688
trees_1000.newick,0,17,1001,49434,999,999,11361,240097,954285
trees_1000.newick,0,18,1001,49423,999,999,11713,239257,1005206
trees_1000.newick,0,19,1001,49260,999,999,11250,239868,1294633
trees_1000.newick,0,20,1001,48759,999,999,11918,236773,982998
trees_1000.newick,0,21,1001,49144,999,999,11245,241084,1031068
trees_1000.newick,0,22,1001,49460,999,999,12050,239929,1268826
trees_1000.newick,0,23,1001,49345,999,999,11798,237800,1054399
trees_1000.newick,0,24,1001,49311,999,999,11479,237907,1338882
trees_1000.newick,0,25,1001,49550,999,999,11319,241049,982402
trees_1000.newick,0,26,1001,49368,999,999,11157,237017,994222
trees_1000.newick,0,27,1001,49136,999,999,11277,241908,944803
trees_1000.newick,0,28,1001,48990,999,999,11198,241309,1846187
trees_1000.newick,0,29,1001,49368,999,999,11592,236433,939275
trees_1000.newick,0,30,1001,49782,999,999,11172,245420,1038152
trees_1000.newick,0,31,1001,49465,999,999,11052,240733,934321
trees_1000.newick,0,32,1001,49702,999,999,11230,240847,1019932
trees_1000.newick,0,33,1001,49115,999,999,11167,237858,1335809
trees_1000.newick,0,34,1001,49279,999,999,11078,240416,958818
trees_1000.newick,0,35,1001,49079,999,999,10891,241347,1108606
trees_1000.newick,0,36,1001,49677,999,999,11089,241648,1279333
trees_1000.newick,0,37,1001,48851,999,999,10954,234080,943219
trees_1000.newick,0,38,1001,49086,999,999,11049,241501,1291504
trees_1000.newick,0,39,1001,49227,999,999,10968,243389,983687
trees_1000.newick,0,40,1001,49623,999,999,11164,243540,975679
trees_1000.newick,0,41,1001,49382,999,999,11106,272376,950558
trees_1000.newick,0,42,1001,49244,999,999,11095,242985,1217747
trees_1000.newick,0,43,1001,49439,999,999,11240,239554,984253
trees_1000.newick,0,44,1001,48822,999,999,10994,241369,1533380
trees_1000.newick,0,45,1001,49355,999,999,11039,237204,994694
trees_1000.newick,0,46,1001,49443,999,999,11145,240841,942312
trees_1000.newick,0,47,1001,48936,999,999,11148,241958,963968
trees_1000.newick,0,48,1001,49365,999,999,11124,244112,1019191
trees_1000.newick,0,49,1001,49359,999,999,10994,253526,972661
trees_1000.newick,1,2,1001,49088,999,999,11095,269063,944504
trees_1000.newick,1,3,1001,48808,999,999,11005,257255,1005191
trees_1000.newick,1,4,1001,49063,999,999,11126,255556,948099
trees_1000.newick,1,5,1001,48892,999,999,11205,257545,1007521
trees_1000.newick,1,6,1001,49204,999,999,11152,238223,958736
trees_1000.newick,1,7,1001,49071,999,999,11406,246709,1347745
trees_1000.newick,1,8,1001,49142,999,999,11063,243325,954150
trees_1000.newick,1,9,1001,48733,999,999,10857,245875,1323226
trees_1000.newick,1,10,1001,48833,999,999,11005,245459,938530
trees_1000.newick,1,11,1001,49152,999,999,11146,240027,1035175
trees_1000.newick,1,12,1001,48750,999,999,10937,243131,954330
trees_1000.newick,1,13,1001,48974,999,999,11059,247866,1277640
trees_1000.newick,1,14,1001,48888,999,999,10917,251608,1262328
trees_1000.newick,1,15,1001,48883,999,999,10976,244685,1496783
trees_1000.newick,1,16,1001,49488,999,999,10990,244461,995944
trees_1000.newick,1,17,1001,48841,999,999,10945,243410,996484
trees_1000.newick,1,18,1001,48946,999,999,11116,253044,966352
trees_1000.newick,1,19,1001,49053,999,999,11082,244126,948004
trees_1000.newick,1,20,1001,49003,999,999,11015,251775,1343605
trees_1000.newick,1,21,1001,48735,999,999,11041,258301,944511
trees_1000.newick,1,22,1001,49178,999,999,10991,266909,1009627
trees_1000.newick,1,23,1001,49071,999,999,11017,247370,1240515
trees_1000.newick,1,24,1001,48755,999,999,10987,239517,1297242
trees_1000.newick,1,25,1001,49035,999,999,10947,244399,1032263
trees_1000.newick,1,26,1001,48810,999,999,11056,245511,1009680
trees_1000.newick,1,27,1001,48892,999,999,10843,245126,991294
trees_1000.newick,1,28,1001,48902,999,999,10922,250288,948803
trees_1000.newick,1,29,1001,48536,999,999,11769,239644,1358746
trees_1000.newick,1,30,1001,49145,999,999,11096,243363,935507
trees_1000.newick,1,31,1001,49048,999,999,11008,242425,1034602
trees_1000.newick,1,32,1001,49251,999,999,11167,243403,967996
trees_1000.newick,1,33,1001,49037,999,999,11154,244358,1008982
trees_1000.newick,1,34,1001,49303,999,999,11013,257915,994231
trees_1000.newick,1,35,1001,48907,999,999,10862,240341,944943
trees_1000.newick,1,36,1001,49641,999,999,11063,245573,1057355
trees_1000.newick,1,37,1001,48278,999,999,10933,241544,934385
trees_1000.newick,1,38,1001,49040,999,999,11040,244648,1038776
trees_1000.newick,1,39,1001,48822,999,999,10908,242270,938224
trees_1000.newick,1,40,1001,48876,999,999,11089,237247,1015001
trees_1000.newick,1,41,1001,48965,999,999,10999,252219,1216319
trees_1000.newick,1,42,1001,49087,999,999,11051,246095,1263445
trees_1000.newick,1,43,1001,48895,999,999,11110,243302,1595397
trees_1000.newick,1,44,1001,48613,999,999,11288,247177,1537165
trees_1000.newick,1,45,1001,48661,999,999,11528,237022,1003152
trees_1000.newick,1,46,1001,48686,999,999,11099,239823,973185
trees_1000.newick,1,47,1001,48937,999,999,10859,239057,962166
trees_1000.newick,1,48,1001,48889,999,999,11189,241474,1030592
trees_1000.newick,1,49,1001,48762,999,999,10919,239379,996053
trees_1000.newick,2,3,1001,49278,999,999,11097,240104,1250073
trees_1000.newick,2,4,1001,49208,999,999,10951,237078,1003419
trees_1000.newick,2,5,1001,49432,999,999,11062,237097,949662
trees_1000.newick,2,6,1001,49285,999,999,10931,237437,971014
trees_1000.newick,2,7,1001,49151,999,999,11101,242082,1023831
trees_1000.newick,2,8,1001,49437,999,999,11023,242448,1275684
trees_1000.newick,2,9,1001,49345,999,999,11315,243523,1265180
trees_1000.newick,2,10,1001,49545,999,999,11059,240715,997338
trees_1000.newick,2,11,1001,49850,999,999,11144,243457,974492
trees_1000.newick,2,12,1001,49548,999,999,11060,242265,932116
trees_1000.newick,2,13,1001,49469,999,999,11080,243292,1017711
trees_1000.newick,2,14,1001,49365,999,999,10979,241352,1230702
trees_1000.newick,2,15,1001,49519,999,999,11048,239833,1001226
trees_1000.newick,2,16,1001,49493,999,999,11123,240710,1253374
trees_1000.newick,2,17,1001,49354,999,999,11013,244015,997053
trees_1000.newick,2,18,1001,49561,999,999,11081,244659,1235674
trees_1000.newick,2,19,1001,49317,999,999,11099,239242,955191
trees_1000.newick,2,20,1001,49473,999,999,11041,241508,1029068
trees_1000.newick,2,21,1001,49173,999,999,11052,245773,953946
trees_1000.newick,2,22,1001,49289,999,999,11035,242385,1329167
trees_1000.newick,2,23,1001,49866,999,999,11104,240692,931134
trees_1000.newick,2,24,1001,49638,999,999,11055,238445,1000252
trees_1000.newick,2,25,1001,49567,999,999,11576,241376,961619
trees_1000.newick,2,26,1001,49450,999,999,11667,259320,1271421
trees_1000.newick,2,27,1001,49268,999,999,11281,244959,1006251
trees_1000.newick,2,28,1001,49266,999,999,11197,238855,941625
trees_1000.newick,2,29,1001,49678,999,999,10912,248715,1003640
trees_1000.newick,2,30,1001,49492,999,999,10899,243645,1265597
trees_1000.newick,2,31,1001,49616,999,999,11622,236526,1048296
trees_1000.newick,2,32,1001,49988,999,999,11330,245127,947485
trees_1000.newick,2,33,1001,49490,999,999,11124,236142,942981
trees_1000.newick,2,34,1001,49336,999,999,10990,243379,995133
trees_1000.newick,2,35,1001,49156,999,999,11524,243247,1265097
trees_1000.newick,2,36,1001,49153,999,999,11123,244614,963124
trees_1000.newick,2,37,1001,49200,999,999,11188,243849,1007164
trees_1000.newick,2,38,1001,49280,999,999,11085,243248,930438
trees_1000.newick,2,39,1001,49437,999,999,10944,242089,1014889
trees_1000.newick,2,40,1001,49162,999,999,11091,241954,1239330
trees_1000.newick,2,41,1001,49594,999,999,11649,240210,1001603
trees_1000.newick,2,42,1001,49941,999,999,12013,243513,950010
trees_1000.newick,2,43,1001,49698,999,999,12391,242970,976970
trees_1000.newick,2,44,1001,49600,999,999,11296,237503,1024583
trees_1000.newick,2,45,1001,49188,999,999,11155,238161,991020
trees_1000.newick,2,46,1001,49590,999,999,11171,240909,951504
trees_1000.newick,2,47,1001,49185,999,999,10980,236312,1012036
trees_1000.newick,2,48,1001,49343,999,999,11023,243014,931158
trees_1000.newick,2,49,1001,49382,999,999,11072,233711,1019089
trees_1000.newick,3,4,1001,49333,999,999,11030,237942,962136
trees_1000.newick,3,5,1001,49363,999,999,10993,237712,1269289
trees_1000.newick,3,6,1001,49677,999,999,11037,240047,1275360
trees_1000.newick,3,7,1001,49526,999,999,11167,241156,990404
trees_1000.newick,3,8,1001,49199,999,999,11015,244103,1234786
trees_1000.newick,3,9,1001,48859,999,999,10937,244646,955818
trees_1000.newick,3,10,1001,49366,999,999,11051,238593,1330840
trees_1000.newick,3,11,1001,49081,999,999,11102,241970,1011547
trees_1000.newick,3,12,1001,49500,999,999,11039,238432,1519902
trees_1000.newick,3,13,1001,49966,999,999,11184,238342,1199375
trees_1000.newick,3,14,1001,49267,999,999,11024,243771,1286315
trees_1000.newick,3,15,1001,49364,999,999,11028,238440,978206
trees_1000.newick,3,16,1001,48886,999,999,10988,240577,1273010
trees_1000.newick,3,17,1001,49159,999,999,11090,240400,978731
trees_1000.newick,3,18,1001,49534,999,999,11056,239474,1249392
trees_1000.newick,3,19,1001,49311,999,999,11061,239041,1008272
trees_1000.newick,3,20,1001,49017,999,999,11046,240619,1261853
trees_1000.newick,3,21,1001,49537,999,999,11139,242281,1010425
trees_1000.newick,3,22,1001,49568,999,999,11123,242042,951471
trees_1000.newick,3,23,1001,49163,999,999,11133,238313,976332
trees_1000.newick,3,24,1001,48851,999,999,11021,240240,1004511
trees_1000.newick,3,25,1001,49072,999,999,10984,242962,990968
trees_1000.newick,3,26,1001,49466,999,999,11117,237900,1225329
trees_1000.newick,3,27,1001,49604,999,999,11030,247009,1005797
trees_1000.newick,3,28,1001,48941,999,999,10984,244808,936497
trees_1000.newick,3,29,1001,49483,999,999,11108,245845,1024232
trees_1000.newick,3,30,1001,49322,999,999,11054,242331,945508
trees_1000.newick,3,31,1001,49447,999,999,11091,238724,1006821
trees_1000.newick,3,32,1001,49539,999,999,11164,240741,939787
trees_1000.newick,3,33,1001,49267,999,999,11015,242556,1309441
trees_1000.newick,3,34,1001,49449,999,999,10959,244258,940592
trees_1000.newick,3,35,1001,49479,999,999,10876,239459,997773
trees_1000.newick,3,36,1001,49610,999,999,11103,241411,958102
trees_1000.newick,3,37,1001,49192,999,999,10969,234004,1004925
trees_1000.newick,3,38,1001,49538,999,999,11093,242785,986845
trees_1000.newick,3,39,1001,48785,999,999,10880,242929,1229533
trees_1000.newick,3,40,1001,49357,999,999,11064,240742,997668
trees_1000.newick,3,41,1001,49131,999,999,10877,241999,943213
trees_1000.newick,3,42,1001,49829,999,999,11171,242196,1022878
trees_1000.newick,3,43,1001,49346,999,999,11207,240901,1216892
trees_1000.newick,3,44,1001,49551,999,999,11155,243691,997500
trees_1000.newick,3,45,1001,48937,999,999,10935,238150,941336
trees_1000.newick,3,46,1001,49173,999,999,11323,242260,1002080
trees_1000.newick,3,47,1001,49132,999,999,11308,237031,948553
trees_1000.newick,3,48,1001,49475,999,999,11152,241698,1010639
trees_1000.newick,3,49,1001,49336,999,999,11112,237978,1207622
trees_1000.newick,4,5,1001,49228,999,999,11026,237148,998096
trees_1000.newick,4,6,1001,49206,999,999,10923,238031,945449
trees_1000.newick,4,7,1001,49487,999,999,11012,242272,1012186
trees_1000.newick,4,8,1001,49122,999,999,10871,240022,1206576
trees_1000.newick,4,9,1001,49081,999,999,10902,242963,1010045
trees_1000.newick,4,10,1001,49266,999,999,11266,243636,1249261
trees_1000.newick,4,11,1001,49334,999,999,11024,240276,1015767
trees_1000.newick,4,12,1001,48932,999,999,10960,242494,929224
trees_1000.newick,4,13,1001,49012,999,999,11019,239878,960770
trees_1000.newick,4,14,1001,49756,999,999,10975,244683,1000346
trees_1000.newick,4,15,1001,49252,999,999,10953,243751,977235
trees_1000.newick,4,16,1001,49242,999,999,11009,243836,940644
trees_1000.newick,4,17,1001,49366,999,999,10996,245091,997449
trees_1000.newick,4,18,1001,49143,999,999,11014,247056,942931
trees_1000.newick,4,19,1001,49114,999,999,10992,241313,1036939
trees_1000.newick,4,20,1001,48935,999,999,11009,239341,1282472
trees_1000.newick,4,21,1001,49314,999,999,11064,239990,980105
trees_1000.newick,4,22,1001,49590,999,999,11053,251417,1064393
trees_1000.newick,4,23,1001,49262,999,999,11042,244287,993163
trees_1000.newick,4,24,1001,49016,999,999,11049,236527,964781
trees_1000.newick,4,25,1001,49161,999,999,10985,241707,1033360
trees_1000.newick,4,26,1001,49654,999,999,11293,257826,961652
trees_1000.newick,4,27,1001,48790,999,999,11609,250900,1326865
trees_1000.newick,4,28,1001,48976,999,999,11500,245133,958314
trees_1000.newick,4,29,1001,49380,999,999,11084,238564,1027022
trees_1000.newick,4,30,1001,49240,999,999,11084,241735,944120
trees_1000.newick,4,31,1001,49440,999,999,11151,241364,1534885
trees_1000.newick,4,32,1001,49753,999,999,11221,242490,987239
trees_1000.newick,4,33,1001,49238,999,999,11074,238717,1005671
trees_1000.newick,4,34,1001,49507,999,999,11034,248061,979897
trees_1000.newick,4,35,1001,48952,999,999,10857,240115,949990
trees_1000.newick,4,36,1001,48997,999,999,10947,242150,1308680
trees_1000.newick,4,37,1001,48936,999,999,11022,235873,924729
trees_1000.newick,4,38,1001,49270,999,999,10886,240683,1022903
trees_1000.newick,4,39,1001,49448,999,999,10861,243474,1219324
trees_1000.newick,4,40,1001,49220,999,999,10924,239297,1109339
trees_1000.newick,4,41,1001,49484,999,999,11146,236979,1227924
trees_1000.newick,4,42,1001,49416,999,999,11030,250494,1012099
trees_1000.newick,4,43,1001,49298,999,999,11098,249576,1003515
trees_1000.newick,4,44,1001,49326,999,999,10982,245662,975031
trees_1000.newick,4,45,1001,48882,999,999,10941,241915,946201
trees_1000.newick,4,46,1001,49374,999,999,11059,239586,1024721
trees_1000.newick,4,47,1001,48984,999,999,10890,241159,942964
trees_1000.newick,4,48,1001,48770,999,999,11126,240374,1029079
trees_1000.newick,4,49,1001,49508,999,999,11021,234957,965619
trees_1000.newick,5,6,1001,49947,999,999,10988,234359,1265804
trees_1000.newick,5,7,1001,49529,999,999,11139,239196,1275936
trees_1000.newick,5,8,1001,49291,999,999,10961,244042,987871
trees_1000.newick,5,9,1001,49435,999,999,10954,239989,951135
trees_1000.newick,5,10,1001,49511,999,999,11002,239922,1014384
trees_1000.newick,5,11,1001,49252,999,999,11081,239112,938922
trees_1000.newick,5,12,1001,49138,999,999,10941,237643,1049154
trees_1000.newick,5,13,1001,49206,999,999,11043,240537,924356
trees_1000.newick,5,14,1001,49347,999,999,10954,239372,1604225
trees_1000.newick,5,15,1001,49742,999,999,11044,240599,998036
trees_1000.newick,5,16,1001,49386,999,999,10975,244266,1578736
trees_1000.newick,5,17,1001,49177,999,999,11162,238099,1176154
trees_1000.newick,5,18,1001,49791,999,999,11256,243208,1241907
trees_1000.newick,5,19,1001,49360,999,999,11023,238656,1314709
trees_1000.newick,5,20,1001,49448,999,999,11108,236349,1281877
trees_1000.newick,5,21,1001,49668,999,999,11090,241499,1239691
trees_1000.newick,5,22,1001,49618,999,999,11067,238944,1230626
trees_1000.newick,5,23,1001,49404,999,999,11051,238483,1256647
trees_1000.newick,5,24,1001,49451,999,999,11209,238308,1163845
trees_1000.newick,5,25,1001,49809,999,999,11095,243695,1017740
trees_1000.newick,5,26,1001,49472,999,999,11095,239538,1280339
trees_1000.newick,5,27,1001,49586,999,999,12305,243989,1018480
trees_1000.newick,5,28,1001,49322,999,999,11038,242083,948316
trees_1000.newick,5,29,1001,49835,999,999,11124,242235,961695
trees_1000.newick,5,30,1001,49301,999,999,11986,243063,1315587
trees_1000.newick,5,31,1001,49500,999,999,11580,237862,1274284
trees_1000.newick,5,32,1001,49358,999,999,11677,242999,1277795
trees_1000.newick,5,33,1001,49302,999,999,12245,240624,1001894
trees_1000.newick,5,34,1001,49635,999,999,11360,244688,1270888
trees_1000.newick,5,35,1001,49105,999,999,11309,245016,1282311
trees_1000.newick,5,36,1001,49640,999,999,11087,245284,1270846
trees_1000.newick,5,37,1001,48747,999,999,10931,236792,962751
trees_1000.newick,5,38,1001,49019,999,999,11043,245012,1008154
trees_1000.newick,5,39,1001,49281,999,999,10887,243616,939498
trees_1000.newick,5,40,1001,49157,999,999,11039,239417,1011897
trees_1000.newick,5,41,1001,49624,999,999,10965,239514,942750
trees_1000.newick,5,42,1001,49758,999,999,11133,241605,1019656
trees_1000.newick,5,43,1001,49321,999,999,10997,246908,947845
trees_1000.newick,5,44,1001,49068,999,999,10817,244080,1292812
trees_1000.newick,5,45,1001,49393,999,999,10871,240673,951275
trees_1000.newick,5,46,1001,49630,999,999,11594,241586,1024592
trees_1000.newick,5,47,1001,49374,999,999,11158,243908,1177561
trees_1000.newick,5,48,1001,49210,999,999,11053,243910,1043480
trees_1000.newick,5,49,1001,49381,999,999,11085,240296,982854
trees_1000.newick,6,7,1001,49277,999,999,11029,239590,1232041
trees_1000.newick,6,8,1001,49475,999,999,10963,241606,1015485
trees_1000.newick,6,9,1001,49209,999,999,10971,244039,940444
trees_1000.newick,6,10,1001,49578,999,999,11004,238804,1028506
trees_1000.newick,6,11,1001,49255,999,999,11193,246253,946897
trees_1000.newick,6,12,1001,49348,999,999,10975,239944,1033560
trees_1000.newick,6,13,1001,49500,999,999,11046,236366,986617
trees_1000.newick,6,14,1001,49938,999,999,11064,252266,1037537
trees_1000.newick,6,15,1001,48903,999,999,10964,239970,1011202
trees_1000.newick,6,16,1001,49458,999,999,11105,242179,939023
trees_1000.newick,6,17,1001,49131,999,999,11038,239964,1041186
trees_1000.newick,6,18,1001,49457,999,999,11627,242617,965296
trees_1000.newick,6,19,1001,49361,999,999,11554,244351,1037606
trees_1000.newick,6,20,1001,49306,999,999,11328,240045,982371
trees_1000.newick,6,21,1001,49871,999,999,11437,248320,1025593
trees_1000.newick,6,22,1001,49621,999,999,11315,242092,1022632
trees_1000.newick,6,23,1001,49282,999,999,11286,241498,1614307
trees_1000.newick,6,24,1001,49143,999,999,13768,239280,1319996
trees_1000.newick,6,25,1001,49154,999,999,11458,251585,978195
trees_1000.newick,6,26,1001,49399,999,999,11649,249191,1037257
trees_1000.newick,6,27,1001,49523,999,999,11332,246040,1005456
trees_1000.newick,6,28,1001,49084,999,999,11300,245551,986451
trees_1000.newick,6,29,1001,49741,999,999,11377,240201,1083134
trees_1000.newick,6,30,1001,49575,999,999,11834,243382,971120
trees_1000.newick,6,31,1001,49605,999,999,11516,242313,1334204
trees_1000.newick,6,32,1001,49763,999,999,11289,239785,989202
trees_1000.newick,6,33,1001,48835,999,999,11046,240589,1441958
trees_1000.newick,6,34,1001,49632,999,999,11069,239622,1070711
trees_1000.newick,6,35,1001,48840,999,999,10873,240225,1330669
trees_1000.newick,6,36,1001,50120,999,999,11127,242843,1312694
trees_1000.newick,6,37,1001,49100,999,999,10976,237215,1046366
trees_1000.newick,6,38,1001,49419,999,999,11112,241635,987816
trees_1000.newick,6,39,1001,49126,999,999,10963,240079,1060663
trees_1000.newick,6,40,1001,49843,999,999,11140,235889,1293816
trees_1000.newick,6,41,1001,49370,999,999,10906,240817,1025493
trees_1000.newick,6,42,1001,49987,999,999,11142,243718,1287194
trees_1000.newick,6,43,1001,49270,999,999,11155,239270,1829299
trees_1000.newick,6,44,1001,49783,999,999,11094,249962,1045882
trees_1000.newick,6,45,1001,49144,999,999,11004,236630,1054000
trees_1000.newick,6,46,1001,49440,999,999,11059,242244,980663
trees_1000.newick,6,47,1001,49322,999,999,10976,241031,1067616
trees_1000.newick,6,48,1001,49263,999,999,11278,241541,959203
trees_1000.newick,6,49,1001,49819,999,999,11038,252033,1048061
trees_1000.newick,7,8,1001,49508,999,999,10849,241171,1222173
trees_1000.newick,7,9,1001,49544,999,999,10863,242166,1038900
trees_1000.newick,7,10,1001,49639,999,999,11109,239277,942202
trees_1000.newick,7,11,1001,49294,999,999,11229,245400,1033508
trees_1000.newick,7,12,1001,49044,999,999,11003,240498,1230211
trees_1000.newick,7,13,1001,49310,999,999,11057,242406,1013485
trees_1000.newick,7,14,1001,49586,999,999,11000,246713,942388
trees_1000.newick,7,15,1001,49983,999,999,11113,242793,1032212
trees_1000.newick,7,16,1001,49295,999,999,11014,239086,943537
trees_1000.newick,7,17,1001,49211,999,999,10969,239015,1300164
trees_1000.newick,7,18,1001,49528,999,999,11101,241889,960540
trees_1000.newick,7,19,1001,49268,999,999,11065,243222,1363727
trees_1000.newick,7,20,1001,49400,999,999,11092,238861,1202975
trees_1000.newick,7,21,1001,49226,999,999,11134,238745,1313753
trees_1000.newick,7,22,1001,49299,999,999,11018,240260,973185
trees_1000.newick,7,23,1001,49398,999,999,11099,239969,1014682
trees_1000.newick,7,24,1001,49501,999,999,11089,236822,982638
trees_1000.newick,7,25,1001,49418,999,999,10969,237850,1312634
trees_1000.newick,7,26,1001,49661,999,999,11099,244282,990960
trees_1000.newick,7,27,1001,49576,999,999,11094,252454,1013371
trees_1000.newick,7,28,1001,49399,999,999,10983,244312,945442
trees_1000.newick,7,29,1001,49693,999,999,11271,243588,1233741
trees_1000.newick,7,30,1001,49337,999,999,11096,243344,986574
trees_1000.newick,7,31,1001,49789,999,999,11129,241187,1006783
trees_1000.newick,7,32,1001,49792,999,999,11308,240361,998635
trees_1000.newick,7,33,1001,49220,999,999,11262,235805,1232022
trees_1000.newick,7,34,1001,49394,999,999,11083,242220,1024850
trees_1000.newick,7,35,1001,49078,999,999,10916,236093,1260487
trees_1000.newick,7,36,1001,49829,999,999,11120,242431,1038377
trees_1000.newick,7,37,1001,49267,999,999,10983,236393,978660
