filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,pop,n,fasttime,naivetime,bhvtime
simphyout/pop_6_n_20_1.newick,0,1,20,0,19,19,6,20,91,68,6486
simphyout/pop_6_n_20_1.newick,0,2,20,0,19,19,6,20,69,59,6449
simphyout/pop_6_n_20_1.newick,0,3,20,0,19,19,6,20,68,60,6794
simphyout/pop_6_n_20_1.newick,0,4,20,0,19,19,6,20,65,63,6681
simphyout/pop_6_n_20_1.newick,0,5,20,0,19,19,6,20,64,62,6316
simphyout/pop_6_n_20_1.newick,0,6,20,0,19,19,6,20,64,63,6234
simphyout/pop_6_n_20_1.newick,0,7,20,0,19,19,6,20,66,63,6424
simphyout/pop_6_n_20_1.newick,0,8,20,0,19,19,6,20,65,59,6780
simphyout/pop_6_n_20_1.newick,0,9,20,0,19,19,6,20,66,66,6772
simphyout/pop_6_n_20_1.newick,0,10,20,0,19,19,6,20,64,60,9123
simphyout/pop_6_n_20_1.newick,0,11,20,0,19,19,6,20,64,62,6494
simphyout/pop_6_n_20_1.newick,0,12,20,0,19,19,6,20,69,59,6278
simphyout/pop_6_n_20_1.newick,0,13,20,0,19,19,6,20,64,61,6216
simphyout/pop_6_n_20_1.newick,0,14,20,0,19,19,6,20,64,56,6918
simphyout/pop_6_n_20_1.newick,0,15,20,0,19,19,6,20,68,61,6602
simphyout/pop_6_n_20_1.newick,0,16,20,0,19,19,6,20,65,62,6724
simphyout/pop_6_n_20_1.newick,0,17,20,0,19,19,6,20,64,60,6837
simphyout/pop_6_n_20_1.newick,0,18,20,0,19,19,6,20,66,57,6504
simphyout/pop_6_n_20_1.newick,0,19,20,0,19,19,6,20,65,62,6219
simphyout/pop_6_n_20_1.newick,0,20,20,0,19,19,6,20,66,61,6598
simphyout/pop_6_n_20_1.newick,0,21,20,0,19,19,6,20,64,58,6349
simphyout/pop_6_n_20_1.newick,0,22,20,0,19,19,6,20,64,60,6419
